id,name,category_id,image_url
1,우거지 된장국,1,https://upload.wikimedia.org/wikipedia/commons/0/0f/Ugeojiguk_%28outer_leaves_soup%29.jpg
2,다슬기국,1,https://upload.wikimedia.org/wikipedia/commons/thumb/5/5e/Daseulgi_3.jpg/640px-Daseulgi_3.jpg
3,바지락황태국,1,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a4/Hwangtae-haejang-guk.jpg/640px-Hwangtae-haejang-guk.jpg
4,소고기 미역국,1,https://upload.wikimedia.org/wikipedia/commons/thumb/3/36/Miyeok-guk.jpg/640px-Miyeok-guk.jpg
5,비지찌개,1,https://images.unsplash.com/photo-1461088945293-0c17689e48ac?ixid=MnwxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8&ixlib=rb-1.2.1&auto=format&fit=crop&w=1051&q=80
6,육즙가득 완자 떡갈비,2,https://upload.wikimedia.org/wikipedia/commons/thumb/2/20/Tteok-galbi.jpg/640px-Tteok-galbi.jpg
7,매콤달콤한 돼지고기 두루치기,2,https://upload.wikimedia.org/wikipedia/commons/thumb/6/65/Samgyeop-duruchigi.jpg/640px-Samgyeop-duruchigi.jpg
8,소시지 야채구이,2,https://upload.wikimedia.org/wikipedia/commons/thumb/7/70/Sausage_fry_with_tomato.jpg/640px-Sausage_fry_with_tomato.jpg
9,동태전,2,https://upload.wikimedia.org/wikipedia/commons/thumb/e/eb/Dongtae-jeon.jpg/640px-Dongtae-jeon.jpg
10,녹두전,2,https://upload.wikimedia.org/wikipedia/commons/thumb/7/72/Korean_pancake-Jeon-01.jpg/640px-Korean_pancake-Jeon-01.jpg
11,가볍게 즐기는 태국식 누들 샐러드,3,https://upload.wikimedia.org/wikipedia/commons/thumb/3/38/Salad_with_ramen_noodle_%2817923012143%29.jpg/640px-Salad_with_ramen_noodle_%2817923012143%29.jpg
12,민물새우 칼국수,3,https://upload.wikimedia.org/wikipedia/commons/thumb/7/7f/Haemulkalguksu_%28seafood_kalguksu%29.jpg/640px-Haemulkalguksu_%28seafood_kalguksu%29.jpg
13,얼큰한 꽃게라면,3,https://upload.wikimedia.org/wikipedia/commons/thumb/f/fb/Haemul-ramyeon.jpg/640px-Haemul-ramyeon.jpg
14,넓은 면두부 파스타,3,https://upload.wikimedia.org/wikipedia/commons/thumb/2/23/Pasta_dishes_of_Turkey.jpg/640px-Pasta_dishes_of_Turkey.jpg
15,간장불고기 통밀국수,3,https://upload.wikimedia.org/wikipedia/commons/thumb/4/4c/Homemade_Japchae_with_mixed_capsicum%2C_mushroom%2C_meat%2C_carrot_with_rice_noodles_03.jpg/640px-Homemade_Japchae_with_mixed_capsicum%2C_mushroom%2C_meat%2C_carrot_with_rice_noodles_03.jpg
16,푹신푹신 수플레 펜케이크,4,https://upload.wikimedia.org/wikipedia/commons/thumb/0/09/Souffe_pancakes_%2876653%29.jpg/640px-Souffe_pancakes_%2876653%29.jpg
17,닭가슴살 시금치 필로파이,4,https://upload.wikimedia.org/wikipedia/commons/thumb/6/61/Eggs_Spinach_and_Fried_Bread_DSCN3826.TIF/lossy-page1-640px-Eggs_Spinach_and_Fried_Bread_DSCN3826.TIF.jpg
18,벨기에 전통 리에주 와플,4,https://upload.wikimedia.org/wikipedia/commons/thumb/5/5b/Waffles_with_Strawberries.jpg/640px-Waffles_with_Strawberries.jpg
19,슈퍼푸드 블루베리로 만든 머핀,4,https://upload.wikimedia.org/wikipedia/commons/thumb/6/6e/Vegan_Blueberry_Muffins_%284972870642%29.jpg/640px-Vegan_Blueberry_Muffins_%284972870642%29.jpg
20,고소한 참치 샌드위치,4,https://upload.wikimedia.org/wikipedia/commons/thumb/7/7f/Tuna_salad_sandwich.jpg/640px-Tuna_salad_sandwich.jpg
